Ship Date,Total Owed,Product Name
2025-09-10T09:02:12.051Z,"1,780",龍角散 らくらく服薬ゼリー スティックタイプ レモン味 (25ｇ×6本入) ×3箱セット PSJBOX 服薬 ゼリー スティック 檸檬 ローカロリー ノンシュガー ノンカフェイン
2025-09-09T05:40:11.470Z,"5,422",【第3類医薬品】ガスピタンa 36錠 ×4
2025-09-02T13:51:21.686Z,982,いなば食品 国産ライトツナスーパーノンオイル 70g×5缶
2025-08-27T10:49:13.664Z,"1,819",ルービックキューブ 3×3 ver.3.0 6色 4975430516680
2025-08-27T08:18:17.118Z,"3,564",[フルグラ] カルビー フルグラ 700g×6袋
2025-08-24T21:09:10.533Z,497,大丸本舗 ぶどう糖 ボトル入 135ｇ
2025-08-07T20:26:33.431Z,699,Cardill usb c ケーブル タイプc ケーブル 【1m/2m 各2本】 Type C 3A急速充電 QC3.0対応 急速充電 高耐久 高速データ転送 断線防止iPhone 16/15/ Galaxy/Sony Xperia Nintendo Switch/GoPro その他Android USB-C機器対応
2025-07-15T04:12:43.686Z,"5,354",ケロッグ 玄米フレーク 業務用袋 400g×8袋
2025-07-13T06:45:36.329Z,"1,680",長3封筒 透けないパステルホワイト 【100枚】 郵便枠無し スミ貼 A4三つ折りが入るサイズ 中身が透けない封筒 ハート パステルカラー ハーフトーン99 長3 書類 ハーフトーン 白
2025-07-13T05:45:17.490Z,650,【すぐに使えるご祝儀袋】 RingLeaf 和風紅白 スタンダード ご祝儀袋 結婚式 のし袋 水引 内袋 筆ペン ｜～3万円用 寿（ことぶき）
2025-07-08T08:46:24.611Z,"1,194",San'ta Rosa (サンタローサ) レーズン 無添加 砂糖不使用 ノンオイル オーガニック 干しぶどう 100g 有機JAS ドライフルーツ カルフォルニア
2025-07-01T07:48:09.144Z,"5,422",【第3類医薬品】ガスピタンa 36錠 ×4
2025-06-24T10:47:04.259Z,"5,422",【第3類医薬品】ガスピタンa 36錠 ×4
2025-06-23T16:03:46.222Z,"2,451",【電池3年間使える・送信機2個】呼び出しベル 呼出ベル 介護ベル 呼び出しワイヤレス 呼び出しブザー ブザー 呼び出し ワイヤレスチャイム ワイヤレスコール SOS緊急コールセット ナースコール 家庭用 呼び出しボタン 介護ベル ポケットベル 無線 警呼び鈴 防犯ブザー 看護 IP68防水 緊急ボタン 高齢者 呼び鈴介護 (受信機1個+送信機2個)
2025-06-23T08:37:45.384Z,558,ロッテ キシリトールガム(ライムミント)ファミリーボトル 133g
2025-06-23T08:37:45.384Z,"1,194",San'ta Rosa (サンタローサ) レーズン 無添加 砂糖不使用 ノンオイル オーガニック 干しぶどう 100g 有機JAS ドライフルーツ カルフォルニア
2025-06-12T15:53:46.806Z,"2,374",パイレックス(Pyrex) PYREX パイレックス 口付 ボウル 500ml Blow ブロー 耐熱ガラス 電子レンジ対応 食洗機対応 CP-8643
2025-06-11T11:36:11.073Z,"1,845",[マルゴ] 防水シューズ レインシューズ ガーデニング ローカット 厨房靴 マタニティ 通勤 通学 マンダム 56 ユニセックス大人 ブラック 26.0 cm
2025-06-11T05:39:10.802Z,296,スプレー缶のガス抜き器 ガスヌキマウス
2025-06-08T21:17:46.793Z,563,花王業務用 ビオレU 薬用 泡ハンドソープ マイルドシトラスの香り ポンプ 250mL
2025-06-05T19:31:48.764Z,"3,891",[フルグラ] カルビー フルグラ 700g×6袋
2025-05-30T11:57:04.556Z,948,ピルケース 【薬剤師監修】 薬ケース サプリメントケース 携帯用 サプリケース おしゃれ 薬入れ MIRAIDIA (ブラック)
2025-05-15T05:05:49.873Z,"1,745",貝印 axia カミソリ 替刃 12個 メンズ 剃刀 ひげそり T字 5枚刃 カイレザー kai razor
2025-05-09T09:22:47.501Z,"5,422",【第3類医薬品】ガスピタンa 36錠 ×4
2025-05-05T08:58:54.097Z,671,オドイーター 靴 消臭スプレー 除菌 消臭 180ml 小林製薬
2025-04-19T19:57:29.230Z,81,シンワ測定(Shinwa Sokutei) ホワイトボードマーカー 黒 細字 丸芯 イレーザー/マグネット付 78506
2025-04-18T20:27:54.003Z,388,（株）オカザキ ホワイトボード ひも付き ３０×２０ｃｍ ［色指定不可］
2025-04-16T09:43:37.495Z,"3,665",ダノン オイコス ヨーグルト 12カップ (ストロベリー×2セット)
2025-04-16T09:43:28.465Z,"3,765",ダノン オイコス プレーン（無糖）110g×24個
2025-04-16T08:13:46.340Z,"1,251",[ヘインズ] Amazon.co.jp限定 トランクス (3枚組) 抗菌 除菌 清潔 防臭効果 前開き Fresh IQ 3P トランクス HM8ET702J メンズ アソート997 M
2025-04-14T06:52:43.795Z,771,タニタ tanita キッチン 勉強 学習 タイマー 大画面 大音量 100分 マグネット スタンド付き ホワイト でか見えタイマー TD-384 WH
